pais,poblacion,lat,long
Liberia,3.685.076,6.5000000,-9.5000000
Libia,6.461.454,25.0000000,17.0000000
Liechtenstein,35.000,47.1667000,9.5333000
Lituania,2.944.459,56.0000000,24.0000000
Luxemburgo,497.538,49.7500000,6.1667000
Macao,N/S,22.1667000,113.5500000
Madagascar,21.281.844,-20.0000000,47.0000000
Malasia,28.274.729,2.5000000,112.5000000
Malaui,15.447.500,-13.5000000,34.0000000
Maldivas,395.650,3.2500000,73.0000000
Malí,13.796.354,17.0000000,-4.0000000
Malta,403.000,35.8333000,14.5833000
Marruecos,31.627.428,32.0000000,-5.0000000
Martinica,N/S,14.6667000,-61.0000000
Mauricio,1.294.104,-20.2833000,57.5500000
Mauritania,3.205.060,20.0000000,-12.0000000
Mayotte,N/S,-12.8333000,45.1667000
México,112.468.855,23.0000000,-102.0000000
Micronesia,N/S,6.9167000,158.2500000
Moldavia,4.324.000,47.0000000,29.0000000
Mónaco,32.965,43.7333000,7.4000000
Mongolia,3.086.918,46.0000000,105.0000000
Montenegro,666.730,42.0000000,19.0000000
Montserrat,N/S,16.7500000,-62.2000000
Mozambique,22.061.451,-18.2500000,35.0000000
Namibia,2.128.471,-22.0000000,17.0000000
Nauru,10.065,-0.5333000,166.9167000
Nepal,28.951.852,28.0000000,84.0000000
Nicaragua,5.995.928,13.0000000,-85.0000000
Níger,15.878.271,16.0000000,8.0000000
Nigeria,154.000.000,10.0000000,8.0000000
Niue,N/S,-19.0333000,-169.8667000
Norfolk,N/S,-29.0333000,167.9500000
Noruega,5.009.150,62.0000000,10.0000000
Nueva Caledonia,N/S,-21.5000000,165.5000000
Nueva Zelanda,4.252.277,-41.0000000,174.0000000
Omán,2.967.717,21.0000000,57.0000000
Países Bajos,16.645.000,52.5000000,5.7500000
Pakistán,184.404.791,30.0000000,70.0000000
Palaos,N/S,7.5000000,134.5000000
Panamá,3.410.676,9.0000000,-80.0000000
Papúa Nueva Guinea,6.064.515,-6.0000000,147.0000000
Paraguay,6.375.830,-23.0000000,-58.0000000
Perú,29.907.003,-10.0000000,-76.0000000
Polinesia Francesa,N/S,-15.0000000,-140.0000000
Polonia,38.500.000,52.0000000,20.0000000
Portugal,10.676.000,39.5000000,-8.0000000
Puerto Rico,N/S,18.2500000,-66.5000000
Reino Unido,62.348.447,54.0000000,-2.0000000
República Democrática del Congo,70.916.439,0.0000000,25.0000000
República Árabe Saharaui Democrática,N/S,24.5000000,-13.0000000
República Centroafricana,4.844.927,7.0000000,21.0000000
República Checa,10.476.000,49.7500000,15.5000000
República de Macedonia,2.062.294,41.8333000,22.0000000
República del Congo,3.039.126,-1.0000000,15.0000000
República Dominicana,9.823.821,19.0000000,-70.6667000
Reunión,N/S,-21.1000000,55.6000000
Ruanda,11.055.976,-2.0000000,30.0000000
Rumania,21.959.278,46.0000000,25.0000000
Rusia,140.702.000,60.0000000,100.0000000
Samoa,192.001,-13.5833000,-172.3333000
Samoa Americana,N/S,-14.3333000,-170.0000000
San Cristóbal y Nieves,51.134,17.3333000,-62.7500000
San Marino,31.477,43.7667000,12.4167000
San Pedro y Miquelón,N/S,46.8333000,-56.3333000
San Vicente y las Granadinas,104.217,13.2500000,-61.2000000
"Santa Elena, Ascensión y Tristán de Acuña",N/S,-15.9333000,-5.7000000
Santa Lucía,160.922,13.8833000,-61.1333000
Santo Tomé y Príncipe,175.808,1.0000000,7.0000000
Senegal,12.323.252,14.0000000,-14.0000000
Serbia,7.344.847,44.0000000,21.0000000
Seychelles,88.340,-4.5833000,55.6667000
Sierra Leona,5.245.695,8.5000000,-11.5000000
Singapur,4.701.069,1.3667000,103.8000000
Siria,22.198.110,35.0000000,38.0000000
Somalia,10.112.453,10.0000000,49.0000000
Sri Lanka,21.513.990,7.0000000,81.0000000
Suazilandia,1.354.051,-26.5000000,31.5000000
Sudáfrica,49.000.000,-29.0000000,24.0000000
Sudán,35.000.000,15.0000000,30.0000000
Suecia,9.555.893,62.0000000,15.0000000
Suiza,7.581.000,47.0000000,8.0000000
Surinam,492.829,4.0000000,-56.0000000
Svalbard y Jan Mayen,N/S,78.0000000,20.0000000
Tailandia,67.089.500,15.0000000,100.0000000
Taiwán,22.894.384,23.5000000,121.0000000
Tanzania,41.892.895,-6.0000000,35.0000000
Tayikistán,7.487.489,39.0000000,71.0000000
Territorio Británico del Océano Índico,N/S,-6.0000000,71.5000000
Territorios Australes Franceses,N/S,-43.0000000,67.0000000
Timor Oriental,1.154.625,-8.5500000,125.5167000
Togo,6.587.239,8.0000000,1.1667000
Tokelau,N/S,-9.0000000,-172.0000000
Tonga,122.580,-20.0000000,-175.0000000
Trinidad y Tobago,1.228.691,11.0000000,-61.0000000
Túnez,10.589.025,34.0000000,9.0000000
Turkmenistán,4.940.916,40.0000000,60.0000000
Turquía,77.804.122,39.0000000,35.0000000
Tuvalu,10.472,-8.0000000,178.0000000
Ucrania,45.415.596,49.0000000,32.0000000
Uganda,33.398.682,1.0000000,32.0000000
Uruguay,3.477.000,-33.0000000,-56.0000000
Uzbekistán,27.865.738,41.0000000,64.0000000
Vanuatu,221.552,-16.0000000,167.0000000
Venezuela,27.223.228,8.0000000,-66.0000000
Vietnam,89.571.130,16.0000000,106.0000000
Wallis y Futuna,N/S,-13.3000000,-176.2000000
Yemen,23.495.361,15.0000000,48.0000000
Yibuti,740.528,11.5000000,43.0000000
Zambia,13.460.305,-15.0000000,30.0000000
Zimbabue,11.651.858,-20.0000000,30.0000000
